orgnr,navn,postnummer,poststed
999007228,SOCO NORGE AS,0164,OSLO
991513833,KNOWIT AMENDE AS,0164,OSLO
995743566,NOA IGNITE AS,0167,OSLO
916280572,STOCKFLETH AS,0191,OSLO
991415416,SCANDINAVIAN STOCKPHOTO AS,4007,STAVANGER
